"Statistic","Year","Age","Type of Registration","UNIT","VALUE"
"Used  (Imported) Cars Registered","2012","7 years","Exempt registrations","Number","262"
"Used  (Imported) Cars Registered","2012","7 years","Net registrations","Number","1872"
"Used  (Imported) Cars Registered","2012","8 years","Gross registrations","Number","2393"
"Used  (Imported) Cars Registered","2012","8 years","Exempt registrations","Number","232"
"Used  (Imported) Cars Registered","2012","8 years","Net registrations","Number","2161"
"Used  (Imported) Cars Registered","2012","9 years","Gross registrations","Number","2298"
"Used  (Imported) Cars Registered","2012","9 years","Exempt registrations","Number","191"
"Used  (Imported) Cars Registered","2012","9 years","Net registrations","Number","2107"
"Used  (Imported) Cars Registered","2012","10 years","Gross registrations","Number","1721"
"Used  (Imported) Cars Registered","2012","10 years","Exempt registrations","Number","165"
"Used  (Imported) Cars Registered","2012","10 years","Net registrations","Number","1556"
"Used  (Imported) Cars Registered","2012","11 years","Gross registrations","Number","1321"
"Used  (Imported) Cars Registered","2012","11 years","Exempt registrations","Number","140"
"Used  (Imported) Cars Registered","2012","11 years","Net registrations","Number","1181"
"Used  (Imported) Cars Registered","2012","12 years","Gross registrations","Number","787"
"Used  (Imported) Cars Registered","2012","12 years","Exempt registrations","Number","99"
"Used  (Imported) Cars Registered","2012","12 years","Net registrations","Number","688"
"Used  (Imported) Cars Registered","2012","13 years and over","Gross registrations","Number","1912"
"Used  (Imported) Cars Registered","2012","13 years and over","Exempt registrations","Number","208"
"Used  (Imported) Cars Registered","2012","13 years and over","Net registrations","Number","1704"
"Used  (Imported) Cars Registered","2013","All ages","Gross registrations","Number","50687"
"Used  (Imported) Cars Registered","2013","All ages","Exempt registrations","Number","2541"
"Used  (Imported) Cars Registered","2013","All ages","Net registrations","Number","48146"
"Used  (Imported) Cars Registered","2013","1 year","Gross registrations","Number","939"
"Used  (Imported) Cars Registered","2013","1 year","Exempt registrations","Number","66"
"Used  (Imported) Cars Registered","2013","1 year","Net registrations","Number","873"
"Used  (Imported) Cars Registered","2013","2 years","Gross registrations","Number","5314"
"Used  (Imported) Cars Registered","2013","2 years","Exempt registrations","Number","208"
"Used  (Imported) Cars Registered","2013","2 years","Net registrations","Number","5106"
"Used  (Imported) Cars Registered","2013","3 years","Gross registrations","Number","4484"
"Used  (Imported) Cars Registered","2013","3 years","Exempt registrations","Number","196"
"Used  (Imported) Cars Registered","2013","3 years","Net registrations","Number","4288"
"Used  (Imported) Cars Registered","2013","4 years","Gross registrations","Number","12105"
"Used  (Imported) Cars Registered","2013","4 years","Exempt registrations","Number","250"
"Used  (Imported) Cars Registered","2013","4 years","Net registrations","Number","11855"
"Used  (Imported) Cars Registered","2013","5 years","Gross registrations","Number","7914"
"Used  (Imported) Cars Registered","2013","5 years","Exempt registrations","Number","251"
"Used  (Imported) Cars Registered","2013","5 years","Net registrations","Number","7663"
"Used  (Imported) Cars Registered","2013","6 years","Gross registrations","Number","6309"
"Used  (Imported) Cars Registered","2013","6 years","Exempt registrations","Number","338"
"Used  (Imported) Cars Registered","2013","6 years","Net registrations","Number","5971"
